,department_name,category_name,sub_category_name,link_url
0,Christmas,Top Picks,Top Picks,/christmas/top-picks/top-picks
1,Christmas,Top Picks,Christmas Drinks,/christmas/top-picks/christmas-drinks
2,Christmas,Top Picks,Christmas Dinner,/christmas/top-picks/christmas-dinner
3,Christmas,Top Picks,Party Food,/christmas/top-picks/party-food
4,Christmas,Top Picks,Snacks & Treats,/christmas/top-picks/snacks-and-treats
5,Christmas,Top Picks,Bakery,/christmas/top-picks/bakery
6,Christmas,Top Picks,Christmas Gifts,/christmas/top-picks/christmas-gifts
7,Christmas,Top Picks,Christmas Decorations,/christmas/top-picks/christmas-decorations
8,Christmas,Top Picks,Christmas Cards & Wrapping,/christmas/top-picks/christmas-cards-and-wrapping
9,Christmas,Chocolates & Biscuits,Biscuits,/christmas/chocolates-and-biscuits/biscuits
10,Christmas,Chocolates & Biscuits,Chocolates,/christmas/chocolates-and-biscuits/chocolates
11,Christmas,Chocolates & Biscuits,Luxury Chocolates,/christmas/chocolates-and-biscuits/luxury-chocolates
12,Christmas,Chocolates & Biscuits,Chocolate Tubs & Pouches,/christmas/chocolates-and-biscuits/chocolate-tubs-and-pouches
13,Christmas,Chocolates & Biscuits,Free From Treats,/christmas/chocolates-and-biscuits/free-from-treats
14,Christmas,Chocolates & Biscuits,Selection Boxes,/christmas/chocolates-and-biscuits/selection-boxes
15,Christmas,Chocolates & Biscuits,Stocking Fillers,/christmas/chocolates-and-biscuits/stocking-fillers
16,Christmas,Christmas Dinner,Finest Christmas Mains,/christmas/christmas-dinner/finest-christmas-mains
17,Christmas,Christmas Dinner,Finest Christmas Sides,/christmas/christmas-dinner/finest-christmas-sides
18,Christmas,Christmas Dinner,Turkey,/christmas/christmas-dinner/turkey
19,Christmas,Christmas Dinner,Beef & Lamb,/christmas/christmas-dinner/beef-and-lamb
20,Christmas,Christmas Dinner,Chicken,/christmas/christmas-dinner/chicken
21,Christmas,Christmas Dinner,Pork & Gammon,/christmas/christmas-dinner/pork-and-gammon
22,Christmas,Christmas Dinner,Fish & Seafood,/christmas/christmas-dinner/fish-and-seafood
23,Christmas,Christmas Dinner,Vegetarian & Vegan,/christmas/christmas-dinner/vegetarian-and-vegan
24,Christmas,Christmas Dinner,Sides & Trimmings,/christmas/christmas-dinner/sides-and-trimmings
25,Christmas,Christmas Dinner,Condiments & Table Sauces,/christmas/christmas-dinner/condiments-and-table-sauces
26,Christmas,Festive Food to Order,Festive Food to Order Brunch,/christmas/festive-food-to-order/festive-food-to-order-brunch
27,Christmas,Festive Food to Order,Festive Food to Order Starters,/christmas/festive-food-to-order/festive-food-to-order-starters
28,Christmas,Festive Food to Order,Festive Food to Order Mains,/christmas/festive-food-to-order/festive-food-to-order-mains
29,Christmas,Festive Food to Order,Festive Food to Order Sides & Vegetables,/christmas/festive-food-to-order/festive-food-to-order-sides-and-vegetables
30,Christmas,Festive Food to Order,Festive Food to Order Buffet & Party Food,/christmas/festive-food-to-order/festive-food-to-order-buffet-and-party-food
31,Christmas,Festive Food to Order,Festive Food to Order Desserts & Cheese,/christmas/festive-food-to-order/festive-food-to-order-desserts-and-cheese
32,Christmas,Drinks,"Champagne, Prosecco & Sparkling Wine",/christmas/drinks/champagne-prosecco-and-sparkling-wine
33,Christmas,Drinks,Red Wine,/christmas/drinks/red-wine
34,Christmas,Drinks,White Wine,/christmas/drinks/white-wine
35,Christmas,Drinks,Rose Wine,/christmas/drinks/rose-wine
36,Christmas,Drinks,Beer & Cider,/christmas/drinks/beer-and-cider
37,Christmas,Drinks,Whisky,/christmas/drinks/whisky
38,Christmas,Drinks,Gin,/christmas/drinks/gin
39,Christmas,Drinks,Rum,/christmas/drinks/rum
40,Christmas,Drinks,Vodka,/christmas/drinks/vodka
